,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
0,classe,élève,effectif,rentrée,parent_élève,maternelle,enseignant,école_maternelle,enseignement,surcharger,apprentissage,enfant,mobiliser,éducation_national,école_élémentaire,inspection_académique,difficulté,académique,pédagogique,apprendre,classe élève effectif rentrée parent_élève maternelle enseignant école_maternelle enseignement surcharger apprentissage enfant mobiliser éducation_national école_élémentaire inspection_académique difficulté académique pédagogique apprendre
1,peuple,citoyen,pays,politique,loi,droit,gouvernement,liberté,élection,vote,candidat,démocratie,macron,état,national,république,député,monde,international,voter,peuple citoyen pays politique loi droit gouvernement liberté élection vote candidat démocratie macron état national république député monde international voter
2,animal,cirque,maltraitance,animal_sauvage,souffrance,cage,interdire,spectacle,élevage,cruauté,humain,espèce,abattoir,refuge,interdiction,loi,cheval,maltraiter,tuer,zoo,animal cirque maltraitance animal_sauvage souffrance cage interdire spectacle élevage cruauté humain espèce abattoir refuge interdiction loi cheval maltraiter tuer zoo
3,enfant,parent,famille,scolaire,handicap,maternelle,adulte,maman,parent_enfant,cantine,mère,handicapé,enfance,accueil,enseignant,scolariser,crèche,droit,fils,éducation,enfant parent famille scolaire handicap maternelle adulte maman parent_enfant cantine mère handicapé enfance accueil enseignant scolariser crèche droit fils éducation
4,chien,parc,propriétaire,canin,maître,vétérinaire,refuge,chiot,race,spa,animal,promener,compagnon,plage,voisin,euthanasie,ami,patte,pauvre,loi,chien parc propriétaire canin maître vétérinaire refuge chiot race spa animal promener compagnon plage voisin euthanasie ami patte pauvre loi
5,eau,parc,éolien,environnement,naturel,déchet,pollution,terre,agricole,village,industriel,paysage,écologique,nature,forêt,usine,biodiversité,patrimoine,nuisance,risque,eau parc éolien environnement naturel déchet pollution terre agricole village industriel paysage écologique nature forêt usine biodiversité patrimoine nuisance risque
6,élève,lycée,épreuve,professeur,bac,cours,enseignant,établissement,enseignement,baccalauréat,scolaire,lycéen,réforme,éducation,éducation_national,examen,rectorat,terminal,formation,spécialité,élève lycée épreuve professeur bac cours enseignant établissement enseignement baccalauréat scolaire lycéen réforme éducation éducation_national examen rectorat terminal formation spécialité
7,hôpital,santé,patient,médecin,soin,médical,maladie,soignant,urgence,infirmier,traitement,malade,soigner,professionnel,public,hospitalier,centre,lit,médicament,médecine,hôpital santé patient médecin soin médical maladie soignant urgence infirmier traitement malade soigner professionnel public hospitalier centre lit médicament médecine
8,étudiant,université,examen,cours,partiel,présentiel,formation,semestre,étude,universitaire,distance,faculté,enseignement,épreuve,professeur,distanciel,licence,stage,diplôme,enseignement_supérieur,étudiant université examen cours partiel présentiel formation semestre étude universitaire distance faculté enseignement épreuve professeur distanciel licence stage diplôme enseignement_supérieur
9,chat,association,chat_errant,stérilisation,chaton,animal,refuge,vétérinaire,spa,nourrir,fourrière,abandonner,campagne,mairie,sauver,propriétaire,bénévole,libre,disparaître,pauvre,chat association chat_errant stérilisation chaton animal refuge vétérinaire spa nourrir fourrière abandonner campagne mairie sauver propriétaire bénévole libre disparaître pauvre
10,école,enseignant,scolaire,parent_élève,poste,ecolé,mairie,public,éducation,parent,rentrée,enseignement,village,équipe,pédagogique,éducation_national,apprentissage,directrice,atsem,directeur,école enseignant scolaire parent_élève poste ecolé mairie public éducation parent rentrée enseignement village équipe pédagogique éducation_national apprentissage directrice atsem directeur
11,ligne,route,bus,usager,train,gare,transport,véhicule,voiture,circulation,vitesse,sncf,sécurité,voie,accident,vélo,piéton,riverain,trafic,routier,ligne route bus usager train gare transport véhicule voiture circulation vitesse sncf sécurité voie accident vélo piéton riverain trafic routier
12,ville,mairie,place,lieu,logement,commerce,association,construction,cirque,municipal,culturel,immeuble,maison,centre-ville,bâtiment,patrimoine,construire,centre,municipalité,culture,ville mairie place lieu logement commerce association construction cirque municipal culturel immeuble maison centre bâtiment patrimoine construire municipalité culture
13,justice,victime,famille,fille,violence,prison,police,acte,policier,plainte,mort,affaire,peine,crime,condamner,père,tribunal,juge,homme,mère,justice victime famille fille violence prison police acte policier plainte mort affaire peine crime condamner père tribunal juge homme mère
14,masque,covid-19,mesure,confinement,virus,gouvernement,sanitaire,vaccin,port_masque,risque,coronavirus,test,santé,protéger,pandémie,obligatoire,épidémie,commerce,vaccination,propagation,masque covid 19 mesure confinement virus gouvernement sanitaire vaccin port_masque risque coronavirus test santé protéger pandémie obligatoire épidémie commerce vaccination propagation
15,club,sport,sportif,joueur,football,terrain,salle,match,stade,équipe,association,saison,pratiquer,compétition,adhérent,jeu,ligue,jouer,piscine,amateur,club sport sportif joueur football terrain salle match stade équipe association saison pratiquer compétition adhérent jeu ligue jouer piscine amateur
16,antenne,antenne_relai,onde,implantation,habitation,opérateur,santé,proximité,village,orange,électromagnétique,riverain,free,mairie,précaution,risque,étude,immeuble,réseau,maison,antenne antenne_relai onde implantation habitation opérateur santé proximité village orange électromagnétique riverain free mairie précaution risque étude immeuble réseau maison
17,arbre,abattage,sauver,abattre,forêt,patrimoine,biodiversité,protéger,nature,jardin,préserver,bois,espace_vert,destruction,oiseau,détruire,immeuble,construction,réchauffement_climatique,place,arbre abattage sauver abattre forêt patrimoine biodiversité protéger nature jardin préserver bois espace_vert destruction oiseau détruire immeuble construction réchauffement_climatique place
18,femme,violence,homme,sexuel,victime,viol,fille,égalité,monde,musulman,société,loi,agression,corps,mère,liberté,droit,harcèlement,discrimination,lutte,femme violence homme sexuel victime viol fille égalité monde musulman société loi agression corps mère liberté droit harcèlement discrimination lutte
19,entreprise,salarié,travail,payer,social,retraite,emploi,salaire,travailler,poste,taxe,professionnel,prime,augmentation,état,impôt,contrat,revenu,métier,retraité,entreprise salarié travail payer social retraite emploi salaire travailler poste taxe professionnel prime augmentation état impôt contrat revenu métier retraité
20,collège,poste,élève,professeur,scolaire,parent_élève,rentrée,établissement,enseignement,enseignant,rectorat,éducation,fcpe,remplacement,dotation,bus,rep,parent,effectif,conseil_départemental,collège poste élève professeur scolaire parent_élève rentrée établissement enseignement enseignant rectorat éducation fcpe remplacement dotation bus rep parent effectif conseil_départemental
21,chasse,chasseur,tuer,forêt,nature,interdire,espèce,renard,loup,tir,massacre,arme,accident,faune,sauvage,interdiction,oiseau,loisir,mort,autoriser,chasse chasseur tuer forêt nature interdire espèce renard loup tir massacre arme accident faune sauvage interdiction oiseau loisir mort autoriser
